index,id,title,category,question,prediction,references,best_reference,exact_match,contains_match,token_f1,char_f1,context_chars,prompt_tokens
0,0,,SHORT,ನೇಪಾಳ ಯಾವ ಶತಮಾನಗಳಲ್ಲಿ ಶಾಕ್ಯರ ಆಳ್ವಿಕೆಯಲ್ಲಿತ್ತು?,ಕ್ರಿ. ಪೂ. 6 ಮತ್ತು 5ನೇ ಶತಮಾನಗಳು.,ಕ್ರಿ. ಪೂ. ೬ ಮತ್ತು ೫ನಯೆ ಶತಮಾನ,ಕ್ರಿ. ಪೂ. ೬ ಮತ್ತು ೫ನಯೆ ಶತಮಾನ,0,0,0.5,0.7727272727272727,886,456
1,1,,SHORT,ನೇಪಾಳವು ಯುದ್ಧದಲ್ಲಿ ಯಾರಿಂದ ಸೋಲಿಸಲ್ಪಟ್ಟಿತ್ತು?,ನೇಪಾಳವು ಬ್ರಿಟಿಷ್‌ರಿಂದ ಸೋಲಿಸಲ್ಪಟ್ಟಿತ್ತು.,ಆಂಗ್ಲ,ಆಂಗ್ಲ,0,0,0.0,0.1463414634146341,886,454
2,2,,SHORT,ಯಾವ ಗೂರ್ಖಾ ರಾಜ ನೇಪಾಳವನ್ನು ಒಗ್ಗೂಡಿಸಿದರು?,ಪೃಥ್ವಿನಾರಾಯಣ ಶಹ.,ಪೃಥ್ವಿನಾರಾಯಣ ಶಹ,ಪೃಥ್ವಿನಾರಾಯಣ ಶಹ,1,1,1.0,1.0,886,455
3,3,,SHORT,ನೇಪಾಳ ಪ್ರದೇಶವನ್ನು ಯಾರು ನಿಯಂತ್ರಿಸುತ್ತಿದ್ದರು?,ನೇಪಾಳವು ಅರಸೊತ್ತಿಗೆಯಾಗಿಯೇ ಉಳಿದಿತ್ತು.,ಶಾಕ್ಯ ಆಡಳಿತ,ಶಾಕ್ಯ ಆಡಳಿತ,0,0,0.0,0.2857142857142857,886,450
4,4,,SHORT,ನೇಪಾಳವು ಯಾವ ಭಾಗಗಳನ್ನು ಬ್ರಿಟಿಷರಿಗೆ ಬಿಟ್ಟುಕೊಟ್ಟಿತು? ,"ನೇಪಾಳವು ಉತ್ತರಾಖಂಡ , ಹಿಮಾಚಲ ಪ್ರದೇಶ ಮತ್ತು ಸಿಕ್ಕಿಂ.","ಉತ್ತರಾಖಂಡ , ಹಿಮಾಚಲ ಪ್ರದೇಶ ಮತ್ತು ಸಿಕ್ಕಿಂ","ಉತ್ತರಾಖಂಡ , ಹಿಮಾಚಲ ಪ್ರದೇಶ ಮತ್ತು ಸಿಕ್ಕಿಂ",0,1,0.9090909090909092,0.9041095890410958,886,457
5,7,,SHORT,ಸಿನೋ-ಇಂಡಿಯನ್ ಯುದ್ಧ ಯಾವಾಗ ಕೊನೆಗೊಂಡಿತು?,1962ರ ಡಿಸೆಂಬರ್‌ 11.,1962,1962,0,1,0.0,0.4,1667,785
6,8,,SHORT,ಎಲ್ಲಿ ಭಾರತೀಯ ಆಡಳಿತದ ಜಮ್ಮು ಮತ್ತು ಕಾಶ್ಮೀರದ ಚುನಾವಣೆಅನ್ನು ನಡೆಸಲಾಯಿತು?,ಶ್ರೀನಗರ.,ಜಮ್ಮು & ಕಾಶ್ಮೀರದಲ್ಲಿ,ಜಮ್ಮು & ಕಾಶ್ಮೀರದಲ್ಲಿ,0,0,0.0,0.3333333333333333,1667,794
7,9,,SHORT,ಚೀನಾ ಯಾವ ದಶಕದ ಆರಂಭದಿಂದಲೂ ಅಕ್ಸೈ ಚಿನ್ ಅನ್ನು ಆಕ್ರಮಿಸಿಕೊಂಡಿತ್ತು?,1950ರ ದಶಕದ ಆರಂಭದಿಂದಲೂ.,1950,1950,0,1,0.0,0.3478260869565217,1667,793
8,10,,SHORT,ಚುನಾಯಿತ ಸಂವಿಧಾನ ಸಭೆಯ ಮೊದಲ ಸಭೆ ಯಾವ ನಗರದಲ್ಲಿ ನಡೆಯಿತು?,ಶ್ರೀನಗರ.,ಶ್ರೀನಗರ,ಶ್ರೀನಗರ,1,1,1.0,1.0,1667,790
9,11,,SHORT,ಯಾವ ಪ್ರದೇಶದ ಸೇನಾ ರಸ್ತೆಯ ನಿರ್ಮಾಣವನ್ನು ಸೇನೆಯು 1956-57 ರಲ್ಲಿ ಪೂರ್ಣಗೊಳಿಸಿತು?,ಕ್ಸಿನ್‌ಜಿಯಾಂಗ್‌ ಮತ್ತು ಪಶ್ಚಿಮ ಟಿಬೆಟ್‌ ನಡುವಣ ರಸ್ತೆ.,ಅಕ್ಸಾಯ್‌ ಚಿನ್‌ ಪ್ರದೇಶದ,ಅಕ್ಸಾಯ್‌ ಚಿನ್‌ ಪ್ರದೇಶದ,0,0,0.0,0.5079365079365079,1667,800
